time,pos,vel,acc
0.000000000000000000e+00,9.599310885968770357e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.462858030000000031e-01,1.745246982361849386e-01,6.989001071600660087e-01,1.442151436859115510e+00
5.413772079999999987e-01,3.489534033635102173e-01,1.020346486385697249e+00,1.454527964357139380e+00
6.935033280000000300e-01,5.233821084908354404e-01,1.252268159108981260e+00,1.506351546228934524e+00
8.219551990000000252e-01,6.978108136181606636e-01,1.428965216019737472e+00,1.160994669974188875e+00
9.382410030000000178e-01,8.722395187454861087e-01,1.428965216019737472e+00,-1.160994669974188875e+00
1.066692873999999902e+00,1.046668223872811332e+00,1.252268159108981482e+00,-1.506351546228932303e+00
1.218818994000000044e+00,1.221096929000136777e+00,1.029332061605956250e+00,-1.366137346879345404e+00
1.410066327000000008e+00,1.395525634127461778e+00,7.263412360564672765e-01,-1.445576502517441631e+00
1.732709475000000054e+00,1.569954339254787223e+00,2.703673964093993298e-01,-1.469492451154587931e+00
2.145713082999999965e+00,1.570000000000000062e+00,-2.702767512451316745e-01,-1.470174250995536003e+00
2.468370050999999954e+00,1.395550973727797350e+00,-7.263611486314878185e-01,-1.445319975605753759e+00
2.659639664000000181e+00,1.221101947455594638e+00,-1.029332061605955362e+00,-1.365978208846065023e+00
2.811783507999999987e+00,1.046652921183391927e+00,-1.252268159108981038e+00,-1.506176074982916058e+00
2.940250343999999849e+00,8.722038949111891037e-01,-1.428965216019737472e+00,-1.160859428514866121e+00
3.056549695000000177e+00,6.977548686389863919e-01,-1.428965216019737250e+00,1.160859428514868563e+00
3.185016531000000040e+00,5.233058423667837911e-01,-1.252268159108981038e+00,1.506176074982912727e+00
3.337160373999999763e+00,3.488568160945808572e-01,-1.029332061605955584e+00,1.365978208846065689e+00
3.528429986999999990e+00,1.744077898223781453e-01,-7.263611486314878185e-01,1.445319975605753315e+00
3.851086954999999978e+00,-4.123644982464611496e-05,-2.702821236314817410e-01,1.469878112021193672e+00
4.264224158000000209e+00,0.000000000000000000e+00,2.703704765392161424e-01,1.469289080612122822e+00
4.586873171999999776e+00,1.744373308611309181e-01,7.263496885726337116e-01,1.445467608295065487e+00
4.778129961999999509e+00,3.488746617222618362e-01,1.029332061605955362e+00,1.366069792892831813e+00
4.930263605000000382e+00,5.233119925833927821e-01,1.252268159108981038e+00,1.506277058804766922e+00
5.058721828999999559e+00,6.977493234445236725e-01,1.428965216019737472e+00,1.160937260067009813e+00
5.175013382999999578e+00,8.721866543056547849e-01,1.408996949454321967e+00,-1.464000144991930874e+00
5.307364018999999544e+00,1.046623985166785564e+00,1.221003559678068395e+00,-1.349232924315465487e+00
5.462555548000000094e+00,1.221061316027916677e+00,9.916066684595907788e-01,-1.478517083813583266e+00
5.665578485000000164e+00,1.395498646889047345e+00,6.089547369872052585e-01,-1.452140541906178806e+00
6.151870039000000290e+00,1.569935977750178457e+00,0.000000000000000000e+00,-1.475285164302942986e+00
